file_name,file_size_mb,pool_type,method,pool_number,replicate,total_spectra,ms1_spectra,ms2_spectra,ms3_spectra,ms1_ms2_ratio,data_completeness,rt_duration_min,rt_median,rt_mean,rt_std,rt_iqr,rt_range_min,rt_range_max,rt_data_points,total_ion_current_sum,tic_median,tic_mean,tic_std,tic_cv,tic_data_points,base_peak_median,base_peak_mean,base_peak_max,bp_data_points,scan_types_detected,scan_type_distribution
01709a_GB4-TUM_first_pool_125_01_01-3xHCD-1h-R1.mzML.gz,154.17535877227783,first_pools,3xHCD,125,R1,57180,2652,54528,0,0.04863556338028169,comprehensive,60.0105514274833,34.4551444984,34.23198836543938,14.763894661067404,24.807530806,0.0014413752,60.0119928026833,57180,4003823937275.25,8106751.0,70021404.98907398,335219199.70545524,478.73817978625584,57180,657344.34375,5432541.4211129295,1138881664.0,57180,3,"{'positive scan': 57180, 'scan window lower limit': 57180, 'scan window upper limit': 57180}"
01625b_GF4-TUM_first_pool_30_01_01-3xHCD-1h-R1.mzML.gz,159.464337348938,first_pools,3xHCD,30,R1,55168,2803,52365,0,0.05352811992743244,comprehensive,60.01187927226666,33.69687123773335,33.858641180126334,14.268638011196758,23.818877283933304,0.00270728853333333,60.0145865608,55168,5259205138656.625,16574559.5,95330719.59571898,434223860.75434524,455.4920623654297,55168,1569741.375,8487907.599376405,479871488.0,55168,3,"{'positive scan': 55168, 'scan window lower limit': 55168, 'scan window upper limit': 55168}"
01748a_GD1-TUM_second_pool_10_02_01-ETD-1h-R1.mzML.gz,37.223416328430176,second_pools,ETD,10,R1,13585,2467,11118,0,0.2218924266954488,comprehensive,60.0391934928,32.9048109434667,32.710540703814424,16.082286368376995,26.591423020266696,0.0014531968,60.0406466896,13585,1488232831297.25,10349167.0,109549711.54193965,410582627.012694,374.79115301504737,13585,1694606.625,14320325.425429443,919149248.0,13585,3,"{'positive scan': 13585, 'scan window lower limit': 13585, 'scan window upper limit': 13585}"
01640c_BA4-Thermo_SRM_Pool_25_01_01-2xIT_2xHCD-1h-R2.mzML.gz,250.58473110198975,srm_pools,2xIT_2xHCD,25,R2,60486,2870,57616,0,0.04981255206886976,comprehensive,60.0073162176,34.6195085516,34.440242159238785,14.572221573176634,24.346023246333328,0.0014392712,60.0087554888,60486,1313670521957.1047,1824180.276498795,21718588.1353886,107235460.86422871,493.7496866543438,60486,258615.1953125,3188553.0100120087,346656384.0,60486,3,"{'positive scan': 60486, 'scan window lower limit': 60486, 'scan window upper limit': 60486}"
